Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
62;AMD;Advanced Micro Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079031078;;1,00;0,01;USD;31.08.2017 0:00:00
63;AME;AMETEK, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311001004;;1,00;0,01;USD;06.10.2016 0:00:00
64;AMED;Amedisys, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0234361089;;1,00;0,01;USD;31.01.2019 0:00:00
65;AMG;Affiliated Managers Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0082521081;;1,00;0,01;USD;23.11.2016 0:00:00
66;AMGN;Amgen Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0311621009;;1,00;0,01;USD;06.10.2016 0:00:00
67;AMN;AMN Healthcare Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0017441017;;1,00;0,01;USD;04.04.2019 0:00:00
68;AMP;Ameriprise Financial, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03076C1062;;1,00;0,01;USD;23.11.2016 0:00:00
69;AMT;American Tower Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03027X1000;;1,00;0,01;USD;23.11.2016 0:00:00
70;AMWD;American Woodmark Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0305061097;;1,00;0,01;USD;28.02.2019 0:00:00
71;AMZN;Amazon.com, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0231351067;ESVUFR;1,00;0,01;USD;06.10.2015 0:00:00
72;AN;AutoNation, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05329W1027;;1,00;0,01;USD;23.11.2016 0:00:00
73;ANAB;AnaptysBio, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0327241065;;1,00;0,01;USD;11.06.2019 0:00:00
74;ANDE;The Andersons, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0341641035;;1,00;0,01;USD;04.04.2019 0:00:00
75;ANET;Arista Networks, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0404131064;;1,00;0,01;USD;31.01.2019 0:00:00
76;ANGI;ANGI Homeservices Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00183L1026;;1,00;0,01;USD;31.10.2019 0:00:00
77;ANIK;Anika Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0352551081;;1,00;0,01;USD;04.04.2019 0:00:00
78;ANIP;ANI Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00182C1036;;1,00;0,01;USD;31.10.2019 0:00:00
79;ANSS;ANSYS, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03662Q1058;;1,00;0,01;USD;31.08.2017 0:00:00
80;ANTM;Anthem, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0367521038;;1,00;0,01;USD;01.06.2017 0:00:00
81;AOBC;American Outdoor Brands Corporation;Акции;Акции иностранного эмитента обыкновенные;;US02874P1030;;1,00;0,01;USD;31.10.2019 0:00:00
82;AON;Aon plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00BLP1HW54;;1,00;0,01;USD;03.04.2020 0:00:00
83;AOS;A. O. Smith Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8318652091;;1,00;0,01;USD;31.01.2019 0:00:00
84;APA;Apache Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0374111054;;1,00;0,01;USD;06.10.2016 0:00:00
85;APD;Air Products & Chemicals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0091581068;;1,00;0,01;USD;23.11.2016 0:00:00
86;APEI;American Public Education, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02913V1035;;1,00;0,01;USD;11.06.2019 0:00:00
87;APH;Amphenol Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US0320951017;;1,00;0,01;USD;23.11.2016 0:00:00
88;APLE;Apple Hospitality REIT, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US03784Y2000;;1,00;0,01;USD;21.01.2020 0:00:00
89;APPF;AppFolio, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US03783C1009;;1,00;0,01;USD;31.10.2019 0:00:00
90;APPN;Appian Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US03782L1017;;1,00;0,01;USD;31.10.2019 0:00:00
91;APTV;Aptiv PLC ;Акции;Акции иностранного эмитента обыкновенные;;JE00B783TY65;;1,00;0,01;USD;26.04.2017 0:00:00
92;APY;Apergy Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03755L1044;;1,00;0,01;USD;18.05.2018 0:00:00
93;ARE;Alexandria Real Estate Equities, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0152711091;;1,00;0,01;USD;31.08.2017 0:00:00
94;ARMK;Aramark;Акции;Акции иностранного эмитента обыкновенные;;US03852U1060;;1,00;0,01;USD;04.04.2019 0:00:00
95;ARNA;Arena Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0400476075;;1,00;0,01;USD;31.10.2019 0:00:00
96;ARNC;Arconic Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03966V1070;;1,00;0,01;USD;03.04.2020 0:00:00
97;ARW;Arrow Electronics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0427351004;;1,00;0,01;USD;11.06.2019 0:00:00
98;ARWR;Arrowhead Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04280A1007;;1,00;0,01;USD;05.08.2019 0:00:00
99;ASGN;ASGN Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US00191U1025;;1,00;0,01;USD;28.02.2019 0:00:00
100;ASH;Ashland Global Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0441861046;;1,00;0,01;USD;31.01.2019 0:00:00
101;ASIX;AdvanSix Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00773T1016;;1,00;0,01;USD;11.06.2019 0:00:00
102;ATGE;Adtalem Global Education Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00737L1035;;1,00;0,01;USD;11.06.2019 0:00:00
