FORM P/E =  37.88 P/B =  2.75 Price = 24.13
FORR P/E =  178.37 P/B =  3.63 Price = 30.68
FOX P/E =  12.74 P/B =  1.63 Price = 27.37
FOXA P/E =  12.98 P/B =  1.67 Price = 27.80
FOXF P/E =  31.81 P/B =  6.06 Price = 67.54
FRHC P/E =  38.78 P/B =  6.76 Price = 16.56
FRPH P/E =  42.49 P/B =  1.03 Price = 39.18
FRPT P/E =  - P/B =  6.97 Price = 71.09
FSCT P/E =  - P/B =  21.67 Price = 23.40
FSLR P/E =  108.40 P/B =  0.89 Price = 43.47
FSLY P/E =  - P/B =  15.33 Price = 41.08
FTI P/E =  - P/B =  0.80 Price = 7.21
FTNT P/E =  67.47 P/B =  45.43 Price = 142.64
FTV P/E =  37.23 P/B =  2.72 Price = 58.53
FUL P/E =  14.76 P/B =  1.53 Price = 36.48
GBCI P/E =  17.23 P/B =  1.71 Price = 39.06
GBT P/E =  - P/B =  8.06 Price = 69.42
GBX P/E =  8.80 P/B =  0.54 Price = 21.35
GCO P/E =  4.18 P/B =  0.40 Price = 17.59
GCP P/E =  50.34 P/B =  2.75 Price = 19.13
GD P/E =  11.69 P/B =  3.03 Price = 138.57
GDDY P/E =  81.44 P/B =  27.22 Price = 75.66
GDOT P/E =  24.36 P/B =  1.99 Price = 37.91
GE P/E =  10.46 P/B =  1.59 Price = 6.41
GEF P/E =  8.52 P/B =  1.29 Price = 31.04
GGG P/E =  23.92 P/B =  7.57 Price = 45.87
GH P/E =  - P/B =  11.65 Price = 96.91
GHC P/E =  8.78 P/B =  0.57 Price = 347.92
GILD P/E =  18.85 P/B =  4.19 Price = 73.34
GIS P/E =  17.24 P/B =  4.81 Price = 59.96
GKOS P/E =  - P/B =  2.56 Price = 37.50
GL P/E =  10.83 P/B =  1.19 Price = 72.54
GLW P/E =  62.15 P/B =  1.64 Price = 21.38
GM P/E =  7.95 P/B =  0.93 Price = 25.98
GMED P/E =  38.09 P/B =  4.03 Price = 55.11
GMS P/E =  10.55 P/B =  1.20 Price = 20.10
GNL P/E =  36.63 P/B =  0.76 Price = 13.92
GNRC P/E =  28.68 P/B =  6.94 Price = 114.40
GOOG P/E =  28.45 P/B =  4.74 Price = 1410.42
GOOGL P/E =  28.88 P/B =  4.76 Price = 1413.24
GOSS P/E =  - P/B =  2.55 Price = 12.62
GPC P/E =  18.91 P/B =  3.29 Price = 77.22
GPI P/E =  7.07 P/B =  0.96 Price = 63.14
GPN P/E =  83.49 P/B =  1.94 Price = 176.75
GPS P/E =  8.22 P/B =  0.92 Price = 8.21
GRA P/E =  24.18 P/B =  9.17 Price = 51.97
GRMN P/E =  16.47 P/B =  3.24 Price = 83.89
GRUB P/E =  - P/B =  3.56 Price = 57.35
GS P/E =  9.78 P/B =  0.79 Price = 179.93
GSH P/E =  13.01 P/B =  0.33 Price = 9.67
GSKY P/E =  10.03 P/B =  - Price = 3.93
GT P/E =  - P/B =  0.48 Price = 7.14
GTHX P/E =  - P/B =  2.96 Price = 18.01
GTLS P/E =  23.78 P/B =  1.06 Price = 35.82
GTN P/E =  6.85 P/B =  0.88 Price = 13.53
GTX P/E =  1.15 P/B =  - Price = 4.38
GVA P/E =  - P/B =  0.63 Price = 16.40
GWRE P/E =  - P/B =  5.24 Price = 100.88
GWW P/E =  20.76 P/B =  8.67 Price = 292.91
H P/E =  9.34 P/B =  1.44 Price = 52.74
HA P/E =  16.16 P/B =  0.67 Price = 13.38
HAE P/E =  73.22 P/B =  9.27 Price = 108.14
